trial_id,estimated_dvv,estimated_dvv_se,n_channels,nuisance_intercept_s,residual_scale_s,median_channel_correlation
N57c3728c9ffd9dba,0.002546851769,0.001891836979,71,-7.776712589e-06,0.0004403827618,0.9804434776
N268394c9e067c2e8,-0.001252526012,0.001571980554,71,0.0002161085803,0.0003531110683,0.9869283438
N2765e5446bd429c7,-0.0007600820177,0.001635263826,71,9.694060507e-05,0.0003840616871,0.9850469828
N128271e5648128dd,-0.002178734172,0.001735118708,70,-0.0001321130336,0.0004046850428,0.9847139716
N0b299d137cdeb423,-0.0009176514441,0.002046009235,71,-9.370824928e-05,0.0005762022483,0.9834641814
N2424ab483ffa4958,0.00454458518,0.001894125896,71,-7.500852284e-06,0.000442500339,0.9817081094
N46c5ff0f0af982f8,0.003211420903,0.001928567922,71,0.0003884616967,0.0004921966707,0.985057056
N5cbbda6fc118c67c,0.001381139043,0.002223150192,71,1.603435072e-05,0.0005460960729,0.982560575
N25f2091370f51602,-0.00212182148,0.00160869654,71,-0.000371729544,0.0003638215003,0.985003531
N1e7c73510ecf5d3f,-0.003228646733,0.001504037821,71,7.184888008e-05,0.0003676088808,0.9831471443
N3bb072501033e173,0.008685012491,0.001965852052,71,3.002464331e-05,0.0005666874726,0.979008615
N2e3ce437e90db60e,0.0009781540603,0.002166414749,71,0.0001973691937,0.0005881904773,0.9767172933
N30a118d9cf79f146,-0.01114129807,0.001809588876,71,-0.0001407279028,0.0004095289773,0.9849913716
N14e48fa3aa06815a,0.003510136922,0.001928025234,71,0.0003885187429,0.0004919529431,0.9846284986
N6c95ce8a78f9a91f,0.002602404464,0.001981837475,71,-7.729894371e-05,0.0004689675111,0.9802417159
N6a79b111b4e120b8,0.01061248168,0.001780207992,70,0.0001390475566,0.0003616587708,0.9868916571
N49d28cdea797d9a2,0.002068840458,0.002223756074,71,1.599697355e-05,0.0005466356916,0.9837718606
N41ccdc0f2bfcee02,0.0001946155511,0.002165136216,71,0.0001978892514,0.0005865565903,0.9765718579
N690fc6fa19de89c4,0.008476603695,0.001823077618,71,-1.451682447e-05,0.000406547542,0.9722321033
N7dec3fd56b72e329,0.0003322170908,0.001635358154,71,9.732495391e-05,0.000384515088,0.9860139489
