leg,band_low_hz,band_high_hz,aperture_index,start_m,stop_m,center_m,direction,discovery_slowness_ms_per_m,discovery_center_time_s,discovery_semblance,validation_semblance
return,3.0,15.0,8,1600.8496,1992.8944000000001,1799.93485,negative,-0.5733618233618234,1.1079999999999999,0.06896040257699179,0.022871223116868133
return,3.0,15.0,9,1800.9558,2193.0006,2000.04105,positive,0.5555555555555556,0.464,0.06918869315648751,0.022980845820943153
return,3.0,15.0,9,1800.9558,2193.0006,2000.04105,negative,-0.7692307692307693,0.784,0.08351234506913133,0.015047129368951924
return,3.0,15.0,10,2001.0620000000001,2393.1068,2200.14725,positive,0.698005698005698,0.936,0.05978539461531439,0.06357449320519208
return,3.0,15.0,10,2001.0620000000001,2393.1068,2200.14725,negative,-0.7514245014245015,0.26399999999999996,0.062325503454787864,0.012688729913133552
return,3.0,15.0,11,2201.1682,2593.213,2400.25345,positive,0.698005698005698,1.272,0.08089581912339314,0.01572154060610923
return,3.0,15.0,11,2201.1682,2593.213,2400.25345,negative,-0.6623931623931624,2.268,0.0646354295673912,0.05511502979361506
return,3.0,15.0,12,2401.2744000000002,2793.3192,2600.35965,positive,0.7692307692307693,2.512,0.07210204506430257,0.015030510591755879
return,3.0,15.0,12,2401.2744000000002,2793.3192,2600.35965,negative,-0.7692307692307693,0.888,0.057351851187687576,0.025570284831612212
return,3.0,15.0,13,2601.3806,2993.4254,2800.46585,positive,0.6801994301994302,2.124,0.07626576550780871,0.06699179957664005
return,3.0,15.0,13,2601.3806,2993.4254,2800.46585,negative,-0.7692307692307693,0.06000000000000001,0.09705835236001656,0.04331016061708791
return,15.0,30.0,0,0.0,392.0448,199.08525,positive,0.7692307692307693,1.3719999999999999,0.040656097349144674,0.022965407658538634
return,15.0,30.0,0,0.0,392.0448,199.08525,negative,-0.7336182336182336,2.7399999999999998,0.04645814915337364,0.02144075871686091
return,15.0,30.0,1,200.1062,592.1510000000001,399.19145000000003,positive,0.7336182336182336,0.48399999999999993,0.33649857977492476,0.3454139995619661
return,15.0,30.0,1,200.1062,592.1510000000001,399.19145000000003,negative,-0.5555555555555556,1.38,0.11622595972792883,0.13669950485258256
return,15.0,30.0,2,400.2124,792.2572,599.29765,positive,0.7158119658119658,0.5720000000000001,0.24545788927151765,0.1620166205136909
return,15.0,30.0,2,400.2124,792.2572,599.29765,negative,-0.5555555555555556,1.1159999999999999,0.09755051856131523,0.08151186246515513
return,15.0,30.0,3,600.3186000000001,992.3634000000001,799.40385,positive,0.6623931623931624,2.08,0.07446521051215425,0.0252268225920448
return,15.0,30.0,3,600.3186000000001,992.3634000000001,799.40385,negative,-0.5733618233618234,0.48799999999999993,0.09792251787003749,0.012819473097775591
return,15.0,30.0,4,800.4248,1192.4696000000001,999.51005,positive,0.6801994301994302,1.416,0.08727541094465781,0.027953946546581572
